         1    979   9  44.700000  -84.640000  351.800000        0        1   4.00  1.00  9999.00
      year        doy        sdold          add            meta           dwind          atop           abot           sd           delta sd   mode       diameter            swe           %wet
      1992     259.000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.042     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.083     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.125     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.167     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.208     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.250     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.292     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.333     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.375     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.417     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.458     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.500     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.542     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.583     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.625     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.667     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.708     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.750     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.792     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.833     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.875     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.917     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     259.958     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.042     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.083     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.125     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.167     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.208     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.250     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.292     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.333     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.375     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.417     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.458     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.500     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.542     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.583     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.625     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.667     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.708     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.750     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.792     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.833     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.875     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.917     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     260.958     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
      1992     261.000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000    0     0.00000000     0.00000000     0.00000000
